Year,SERIES,REF_AREA,SEX,URBANISATION,Value
2018,SP_LGL_LNDDOC,13,,U,2.4
2018,SP_LGL_LNDDOC,13,M,U,2.3
2018,SP_LGL_LNDDOC,13,F,U,3.3
2018,SP_LGL_LNDDOC,13,,R,1.9
2018,SP_LGL_LNDDOC,13,M,R,2.1
2018,SP_LGL_LNDDOC,13,F,R,0.9
2018,SP_LGL_LNDDOC,14,,,1.5
2018,SP_LGL_LNDDOC,14,M,,1.6
2018,SP_LGL_LNDDOC,14,F,,0.6
2018,SP_LGL_LNDDOC,14,,U,2.8
2018,SP_LGL_LNDDOC,14,M,U,3.0
2018,SP_LGL_LNDDOC,14,F,U,1.7
2018,SP_LGL_LNDDOC,14,,R,1.1
2018,SP_LGL_LNDDOC,14,M,R,1.3
2018,SP_LGL_LNDDOC,14,F,R,0.4
2018,SP_LGL_LNDDOC,15,,,2.9
2018,SP_LGL_LNDDOC,15,M,,3.2
2018,SP_LGL_LNDDOC,15,F,,2.1
2018,SP_LGL_LNDDOC,15,,U,8.4
2018,SP_LGL_LNDDOC,15,M,U,9.3
2018,SP_LGL_LNDDOC,15,F,U,5.6
2018,SP_LGL_LNDDOC,15,,R,2.1
2018,SP_LGL_LNDDOC,15,M,R,2.3
2018,SP_LGL_LNDDOC,15,F,R,1.8
2018,SP_LGL_LNDDOC,16,,,3.7
2018,SP_LGL_LNDDOC,16,M,,3.8
2018,SP_LGL_LNDDOC,16,F,,3.1
2018,SP_LGL_LNDDOC,16,,U,13.3
2018,SP_LGL_LNDDOC,16,M,U,13.1
2018,SP_LGL_LNDDOC,16,F,U,14.1
2018,SP_LGL_LNDDOC,16,,R,2.7
2018,SP_LGL_LNDDOC,16,M,R,2.9
2018,SP_LGL_LNDDOC,16,F,R,1.9
2018,SP_LGL_LNDSEC,,,,67.5
2018,SP_LGL_LNDSEC,,M,,67.2
2018,SP_LGL_LNDSEC,,F,,68.1
2018,SP_LGL_LNDSEC,,,U,59.5
2018,SP_LGL_LNDSEC,,M,U,58.6
2018,SP_LGL_LNDSEC,,F,U,61.7
2018,SP_LGL_LNDSEC,,,R,69.9
2018,SP_LGL_LNDSEC,,M,R,69.8
2018,SP_LGL_LNDSEC,,F,R,70.2
2018,SP_LGL_LNDSEC,1,,,61.9
2018,SP_LGL_LNDSEC,1,M,,61.3
2018,SP_LGL_LNDSEC,1,F,,63.4
2018,SP_LGL_LNDSEC,1,,U,53.5
2018,SP_LGL_LNDSEC,1,M,U,52.4
2018,SP_LGL_LNDSEC,1,F,U,55.7
2018,SP_LGL_LNDSEC,1,,R,63.5
2018,SP_LGL_LNDSEC,1,M,R,62.9
2018,SP_LGL_LNDSEC,1,F,R,65.0
2018,SP_LGL_LNDSEC,2,,,53.6
2018,SP_LGL_LNDSEC,2,M,,52.6
2018,SP_LGL_LNDSEC,2,F,,55.6
2018,SP_LGL_LNDSEC,2,,U,50.4
2018,SP_LGL_LNDSEC,2,M,U,48.7
2018,SP_LGL_LNDSEC,2,F,U,53.5
2018,SP_LGL_LNDSEC,2,,R,54.6
2018,SP_LGL_LNDSEC,2,M,R,53.8
2018,SP_LGL_LNDSEC,2,F,R,56.3
2018,SP_LGL_LNDSEC,3,,,47.3
2018,SP_LGL_LNDSEC,3,M,,45.9
2018,SP_LGL_LNDSEC,3,F,,51.6
2018,SP_LGL_LNDSEC,3,,U,46.7
2018,SP_LGL_LNDSEC,3,M,U,45.2
2018,SP_LGL_LNDSEC,3,F,U,52.0
2018,SP_LGL_LNDSEC,3,,R,48.0
2018,SP_LGL_LNDSEC,3,M,R,46.7
2018,SP_LGL_LNDSEC,3,F,R,51.3
2018,SP_LGL_LNDSEC,4,,,64.7
2018,SP_LGL_LNDSEC,4,M,,62.6
2018,SP_LGL_LNDSEC,4,F,,68.1
2018,SP_LGL_LNDSEC,4,,U,43.5
2018,SP_LGL_LNDSEC,4,M,U,41.4
2018,SP_LGL_LNDSEC,4,F,U,47.4
2018,SP_LGL_LNDSEC,4,,R,70.0
2018,SP_LGL_LNDSEC,4,M,R,68.3
2018,SP_LGL_LNDSEC,4,F,R,72.7
2018,SP_LGL_LNDSEC,5,,,48.5
2018,SP_LGL_LNDSEC,5,M,,46.6
2018,SP_LGL_LNDSEC,5,F,,53.2
2018,SP_LGL_LNDSEC,5,,U,49.8
2018,SP_LGL_LNDSEC,5,M,U,47.0
2018,SP_LGL_LNDSEC,5,F,U,56.2
2018,SP_LGL_LNDSEC,5,,R,48.0
2018,SP_LGL_LNDSEC,5,M,R,46.5
2018,SP_LGL_LNDSEC,5,F,R,52.0
2018,SP_LGL_LNDSEC,6,,,59.0
2018,SP_LGL_LNDSEC,6,M,,54.9
2018,SP_LGL_LNDSEC,6,F,,67.1
2018,SP_LGL_LNDSEC,6,,U,53.4
2018,SP_LGL_LNDSEC,6,M,U,48.7
2018,SP_LGL_LNDSEC,6,F,U,61.8
2018,SP_LGL_LNDSEC,6,,R,60.8
2018,SP_LGL_LNDSEC,6,M,R,56.8
2018,SP_LGL_LNDSEC,6,F,R,69.0
2018,SP_LGL_LNDSEC,7,,,69.4
2018,SP_LGL_LNDSEC,7,M,,67.6
2018,SP_LGL_LNDSEC,7,F,,74.2
2018,SP_LGL_LNDSEC,7,,U,72.1
2018,SP_LGL_LNDSEC,7,M,U,70.4
2018,SP_LGL_LNDSEC,7,F,U,75.4
2018,SP_LGL_LNDSEC,7,,R,68.9
2018,SP_LGL_LNDSEC,7,M,R,67.1
2018,SP_LGL_LNDSEC,7,F,R,73.9
2018,SP_LGL_LNDSEC,8,,,42.7
2018,SP_LGL_LNDSEC,8,M,,39.0
2018,SP_LGL_LNDSEC,8,F,,51.2
2018,SP_LGL_LNDSEC,8,,U,48.6
2018,SP_LGL_LNDSEC,8,M,U,44.5
2018,SP_LGL_LNDSEC,8,F,U,55.6
2018,SP_LGL_LNDSEC,8,,R,39.0
2018,SP_LGL_LNDSEC,8,M,R,36.0
2018,SP_LGL_LNDSEC,8,F,R,47.4
2018,SP_LGL_LNDSEC,9,,,72.7
